geo_value,time_value,value,disease,week,date
ak,202443,3.0,Flu,202443,2024-10-26
al,202443,9.0,Flu,202443,2024-10-26
ar,202443,1.0,Flu,202443,2024-10-26
as,202443,9.0,Flu,202443,2024-10-26
az,202443,187.0,Flu,202443,2024-10-26
ca,202443,137.0,Flu,202443,2024-10-26
co,202443,14.0,Flu,202443,2024-10-26
ct,202443,6.0,Flu,202443,2024-10-26
dc,202443,0.0,Flu,202443,2024-10-26
de,202443,0.0,Flu,202443,2024-10-26
fl,202443,114.0,Flu,202443,2024-10-26
ga,202443,8.0,Flu,202443,2024-10-26
gu,202443,3.0,Flu,202443,2024-10-26
hi,202443,2.0,Flu,202443,2024-10-26
ia,202443,4.0,Flu,202443,2024-10-26
id,202443,1.0,Flu,202443,2024-10-26
il,202443,12.0,Flu,202443,2024-10-26
in,202443,3.0,Flu,202443,2024-10-26
ks,202443,3.0,Flu,202443,2024-10-26
ky,202443,4.0,Flu,202443,2024-10-26
la,202443,23.0,Flu,202443,2024-10-26
ma,202443,0.0,Flu,202443,2024-10-26
md,202443,0.0,Flu,202443,2024-10-26
me,202443,0.0,Flu,202443,2024-10-26
mi,202443,4.0,Flu,202443,2024-10-26
mn,202443,0.0,Flu,202443,2024-10-26
mo,202443,8.0,Flu,202443,2024-10-26
mp,202443,,Flu,202443,2024-10-26
ms,202443,0.0,Flu,202443,2024-10-26
mt,202443,0.0,Flu,202443,2024-10-26
nc,202443,47.0,Flu,202443,2024-10-26
nd,202443,0.0,Flu,202443,2024-10-26
ne,202443,1.0,Flu,202443,2024-10-26
nh,202443,0.0,Flu,202443,2024-10-26
nj,202443,2.0,Flu,202443,2024-10-26
nm,202443,15.0,Flu,202443,2024-10-26
nv,202443,5.0,Flu,202443,2024-10-26
ny,202443,8.0,Flu,202443,2024-10-26
oh,202443,229.0,Flu,202443,2024-10-26
ok,202443,4.0,Flu,202443,2024-10-26
or,202443,7.0,Flu,202443,2024-10-26
pa,202443,63.0,Flu,202443,2024-10-26
pr,202443,14.0,Flu,202443,2024-10-26
ri,202443,0.0,Flu,202443,2024-10-26
